# water and pfoah on sio2 slab

374 atoms
5   atom types

Masses

1 1.0078       ! H of water
2 15.9994      ! O of water
3 12.011       ! C of pfoa
4 18.998403    ! F of pfoa
5 15.9994      ! O of pfoa

Atoms

243    2      0      5.492   8.409   11.607 
244    1      0      12.899  10.025  17.185 
245    2      0      13.85   10.315  17.297 
246    1      0      9.825   7.914   21.791 
247    2      0      10.485  7.205   21.543 
248    1      0      11.07   11.185  22.626 
249    2      0      10.331  10.713  22.144 
250    1      0      15.954  8.409   18.069 
251    2      0      16.712  7.758   18.118 
252    1      0      8.838   12.697  29.274 
253    2      0      9.798   12.933  29.425 
254    1      0      16.549  11.979  28.198 
255    2      0      15.771  11.883  28.819 
256    1      0      3.321   3.897   20.319 
257    2      0      3.362   4.511   21.108 
258    1      0      7.451   2.836   22.753 
259    2      0      8.064   2.689   21.977 
260    1      0      2.488   3.201   28.517 
261    2      0      1.775   3.573   27.922 
262    1      0      6.852   6.479   23.911 
263    2      0      7.394   7.285   23.67  
264    1      0      8.99    0.755   14.298 
265    2      0      9.628   0.0     14.451 
266    1      0      7.091   10.547  30.972 
267    2      0      7.763   9.969   30.507 
268    1      0      3.454   0.018   11.85  
269    2      0      4.017   0.842   11.782 
270    1      0      11.656  8.972   31.303 
271    2      0      11.273  8.069   31.5   
272    1      0      12.819  5.941   30.769 
273    2      0      12.004  5.436   30.483 
274    1      0      6.906   0.041   12.917 
275    2      0      6.96    -0.0    13.915 
276    1      0      13.407  7.929   16.748 
277    2      0      14.205  7.361   16.95  
278    1      0      2.309   1.004   30.829 
279    2      0      3.243   0.65    30.789 
280    1      0      5.819   2.23    15.22  
281    2      0      6.55    1.572   15.399 
282    1      0      6.083   7.743   30.061 
283    2      0      5.943   8.62    29.601 
284    1      0      10.943  6.195   15.864 
285    2      0      11.496  6.903   16.303 
286    1      0      15.367  12.798  14.512 
287    2      0      15.347  12.933  13.522 
288    1      0      0.299   0.617   17.404 
289    2      0      1.086   0.0     17.388 
290    1      0      5.339   2.544   18.864 
291    2      0      5.862   2.95    18.115 
292    1      0      9.602   12.933  23.685 
293    2      0      8.627   12.739  23.798 
294    1      0      13.099  12.3    23.07  
295    2      0      13.873  12.933  23.037 
296    1      0      10.248  1.049   17.463 
297    2      0      9.968   0.397   18.168 
298    1      0      7.409   11.058  24.525 
299    2      0      7.397   10.712  25.463 
300    1      0      10.052  8.978   25.895 
301    2      0      9.313   9.64    26.022 
302    1      0      9.205   12.932  21.049 
303    2      0      10.069  12.816  21.539 
304    1      0      7.899   10.233  18.775 
305    2      0      8.244   9.352   19.098 
306    1      0      11.349  12.933  14.322 
307    2      0      12.064  12.753  14.998 
308    1      0      15.179  12.933  18.348 
309    2      0      15.384  12.706  17.396 
310    1      0      16.251  5.483   30.827 
311    2      0      16.211  4.744   31.5   
312    1      0      5.737   3.456   11.687 
313    2      0      4.879   3.936   11.5   
314    1      0      12.325  12.714  20.674 
315    2      0      13.095  12.094  20.521 
316    1      0      15.975  9.364   11.562 
317    2      0      16.19   10.228  12.018 
318    1      0      12.112  0.081   20.804 
319    2      0      11.335  -0.001  20.18  
320    1      0      13.361  2.804   17.403 
321    2      0      13.618  2.084   18.048 
322    1      0      5.067   1.104   28.877 
323    2      0      5.954   1.564   28.836 
324    1      0      17.09   7.726   15.614 
325    2      0      16.651  8.625   15.609 
326    1      0      2.116   4.372   13.003 
327    2      0      2.543   5.258   13.179 
328    1      0      6.109   0.0     31.5   
329    2      0      6.876   0.372   30.977 
330    1      0      9.712   8.824   30.145 
331    2      0      10.441  8.544   29.52  
332    1      0      18.701  12.253  16.302 
333    2      0      17.706  12.154  16.271 
334    1      0      7.188   0.466   20.231 
335    2      0      6.71    -0.0    19.487 
336    1      0      13.313  12.125  13.299 
337    2      0      12.961  12.933  12.826 
338    1      0      7.593   6.185   27.14  
339    2      0      7.48    6.98    27.737 
340    1      0      7.829   2.435   11.766 
341    2      0      7.792   1.472   11.5   
342    1      0      8.792   6.84    29.887 
343    2      0      9.36    6.49    30.633 
344    1      0      13.438  5.564   19.604 
345    2      0      13.979  4.724   19.559 
346    1      0      2.99    3.911   17.445 
347    2      0      2.138   4.418   17.315 
348    1      0      9.259   11.895  16.255 
349    2      0      9.836   11.79   15.445 
350    3      0      9.502   8.083   12.084 
351    3      0      8.465   7.98    13.213 
352    5      0      10.583  8.84    12.459 
353    5      0      9.924   6.844   11.67  
354    4      0      8.041   9.263   13.515 
355    3      0      9.015   7.292   14.494 
356    4      0      7.381   7.269   12.726 
357    3      0      7.947   7.199   15.621 
358    4      0      10.101  8.013   14.96  
359    4      0      9.44    6.014   14.169 
360    4      0      7.522   8.478   15.942 
361    3      0      8.492   6.511   16.905 
362    4      0      6.86    6.479   15.151 
363    3      0      7.424   6.419   18.032 
364    4      0      9.58    7.231   17.375 
365    4      0      8.917   5.231   16.584 
366    4      0      6.999   7.698   18.357 
367    3      0      7.97    5.732   19.312 
368    4      0      6.336   5.698   17.565 
369    3      0      6.918   5.637   20.431 
370    4      0      9.054   6.444   19.8   
371    4      0      8.391   4.447   19.009 
372    4      0      6.492   6.899   20.808 
373    4      0      7.477   5.017   21.534 
374    4      0      5.827   4.895   20.017 
