# water and pfoah on sio2 slab

1996 atoms
8    atom types

Masses

1 1.0078       ! H of water
2 15.9994      ! O of water
3 12.011       ! C of pfoa
4 18.998403    ! F of pfoa
5 15.9994      ! O of pfoa
6 1.0078       ! H of pfoa
7 22.989769    ! Na of ion
8 35.453       ! Cl of ion

Atoms

310       1          0.2528    4.9550     17.1700    39.2970  
311       1          0.2528    4.1110     15.8050    38.9920  
312       2         -0.4105    4.3410     16.7160    38.6510  
313       1          0.2528    11.6130    4.5640     38.0220  
314       1          0.2528    11.9380    3.0620     37.4690  
315       2         -0.4105    11.5930    3.9670     37.2200  
316       1          0.2528    16.7810    0.0010     20.0990  
317       1          0.2528    18.4140    -0.0000    20.1000  
318       2         -0.4105    17.5970   -0.5770     20.0990  
319       1          0.2528    2.1210     18.3880    24.9780  
320       1          0.2528    2.4670     19.8960    24.4550  
321       2         -0.4105    2.8580     19.0200    24.7330  
322       1          0.2528    1.5590     17.2240    22.9320  
323       1          0.2528    2.2550     18.5900    22.3710  
324       2         -0.4105    1.6690     17.8160    22.1340  
325       1          0.2528    0.0000     20.7000    42.2510  
326       1          0.2528    0.5780     21.2120    43.6900  
327       2         -0.4105   -0.0460     20.5730    43.2420  
328       1          0.2528    8.6630     -0.0000    17.8620  
329       1          0.2528    8.5250     0.3820     19.4440  
330       2         -0.4105    9.0750    -0.1060     18.7670  
331       1          0.2528    18.9960    2.4690     46.6330  
332       1          0.2528    19.6640    3.9590     46.6000  
333       2         -0.4105    19.7090    3.0540     47.0210  
334       1          0.2528    17.2920    20.4370    10.7770  
335       1          0.2528    16.4440    19.1640    10.2050  
336       2         -0.4105    17.3590    19.5080    10.4130  
337       1          0.2528    14.8280    2.4410     49.9820  
338       1          0.2528    15.0590    4.0310     49.6900  
339       2         -0.4105    14.7100    3.3640     50.3480  
340       1          0.2528    13.4770    19.1540    10.5130  
341       1          0.2528    12.4940    20.4490    10.3550  
342       2         -0.4105    12.8950    19.8030    11.0040  
343       1          0.2528    10.4670    11.7200    30.5130  
344       1          0.2528    8.9400     11.2370    30.8340  
345       2         -0.4105    9.5030     11.9870    30.4890  
346       1          0.2528    5.3280     17.3790    16.6540  
347       1          0.2528    4.8470     18.1020    18.0360  
348       2         -0.4105    4.5590     17.5180    17.2780  
349       1          0.2528    9.5870     5.3170     13.7450  
350       1          0.2528    10.0360    3.7640     13.5120  
351       2         -0.4105    9.3970     4.3660     13.9890  
352       1          0.2528    6.3320     2.1320     47.3890  
353       1          0.2528    5.7010     3.6260     47.5820  
354       2         -0.4105    6.5350     3.0790     47.6420  
355       1          0.2528    8.4820     18.5110    17.5850  
356       1          0.2528    7.9780     17.1630    18.3580  
357       2         -0.4105    8.2810     17.5360    17.4820  
358       1          0.2528    15.3560    10.3170    41.9220  
359       1          0.2528    15.4310    11.5830    42.9500  
360       2         -0.4105    15.6230    11.2760    42.0180  
361       1          0.2528    -0.0000    9.4050     11.3950  
362       1          0.2528    0.2630     8.5980     10.0000  
363       2         -0.4105   -0.2130     9.3710     10.4190  
364       1          0.2528    5.8420     15.9790    18.6350  
365       1          0.2528    7.0730     14.9790    19.0210  
366       2         -0.4105    6.0860     15.1190    19.0840  
367       1          0.2528    9.6570     4.3660     23.9260  
368       1          0.2528    10.8860    3.9660     22.9280  
369       2         -0.4105    9.9110     4.1790     22.9770  
370       1          0.2528    4.1200     0.1210     15.6290  
371       1          0.2528    5.6800     0.5910     15.5100  
372       2         -0.4105    4.8920     0.5240     16.1210  
373       1          0.2528    2.0560     13.8100    35.7530  
374       1          0.2528    3.2960     14.8660    35.8590  
375       2         -0.4105    3.0340     13.9050    35.9390  
376       1          0.2528    2.5550     15.5050    25.8800  
377       1          0.2528    1.2270     16.1490    25.1820  
378       2         -0.4105    1.6350     15.3100    25.5410  
379       1          0.2528    3.2610     17.5920    44.9160  
380       1          0.2528    4.6900     16.8270    45.1130  
381       2         -0.4105    3.7080     16.6990    44.9800  
382       1          0.2528    11.5140    17.1950    44.1060  
383       1          0.2528    11.7170    15.5780    43.9930  
384       2         -0.4105    11.7450    16.4420    43.4900  
385       1          0.2528    11.8870    1.7860     23.6800  
386       1          0.2528    11.7170    0.2240     24.1230  
387       2         -0.4105    12.3340    1.0100     24.1250  
388       1          0.2528    8.0540    -0.0010     22.2910  
389       1          0.2528    6.7140    -0.0010     21.3580  
390       2         -0.4105    7.2560     0.5310     22.0070  
391       1          0.2528    5.7140     20.6250    22.3230  
392       1          0.2528    4.2740     19.9050    22.5960  
393       2         -0.4105    5.0010     20.0470    21.9260  
394       1          0.2528    1.6250     5.4430     14.7760  
395       1          0.2528    2.3900     6.0800     16.0710  
396       2         -0.4105    2.4830     5.4620     15.2910  
397       1          0.2528    16.2470    12.3250    17.6690  
398       1          0.2528    16.8960    12.7120    16.2220  
399       2         -0.4105    16.3200    12.0570    16.7090  
