# water and pfoah on sio2 slab

7124 atoms
6    atom types

Masses

1 1.0078       ! H of water
2 15.9994      ! O of water
3 12.011       ! C of pfoa
4 18.998403    ! F of pfoa
5 15.9994      ! O of pfoa
6 1.0078       ! H of pfoa

Atoms

629    1      0      26.124  42.704  36.734 
630    2      0      25.649  41.986  36.227 
631    1      0      11.985  7.404   38.585 
632    1      0      13.109  8.373   39.267 
633    2      0      12.653  8.128   38.412 
634    1      0      11.263  27.26   37.244 
635    1      0      12.7    26.52   37.009 
636    2      0      11.761  26.397  37.33  
637    1      0      3.722   41.65   14.977 
638    1      0      3.669   43.197  15.495 
639    2      0      3.364   42.264  15.681 
640    1      0      21.423  9.57    29.234 
641    1      0      20.36   10.549  28.473 
642    2      0      21.183  10.521  29.039 
643    1      0      15.26   39.314  18.548 
644    1      0      16.064  38.463  19.687 
645    2      0      15.236  38.988  19.493 
646    1      0      15.305  12.958  33.943 
647    1      0      13.751  12.586  33.607 
648    2      0      14.617  12.9    33.219 
649    1      0      24.257  13.762  14.211 
650    1      0      24.949  14.493  15.497 
651    2      0      24.216  13.881  15.204 
652    1      0      2.286   1.778   10.0   
653    1      0      1.272   2.877   10.655 
654    2      0      1.943   2.715   9.933  
655    1      0      18.76   38.696  45.998 
656    1      0      20.172  38.616  45.182 
657    2      0      19.756  38.721  46.085 
658    1      0      24.477  34.679  42.52  
659    1      0      25.004  35.862  43.515 
660    2      0      25.253  35.265  42.753 
661    1      0      7.681   31.344  50.0   
662    1      0      7.495   32.897  49.53  
663    2      0      7.466   31.944  49.229 
664    1      0      31.648  -0.0    47.048 
665    1      0      33.237  -0.0    46.673 
666    2      0      32.313  0.1     46.307 
667    1      0      14.973  28.702  32.227 
668    1      0      14.946  30.331  32.351 
669    2      0      14.394  29.516  32.174 
670    1      0      8.385   0.865   26.477 
671    1      0      9.426   -0.0    27.391 
672    2      0      8.916   0.856   27.325 
673    1      0      39.328  27.903  16.608 
674    1      0      39.328  29.408  17.241 
675    2      0      39.802  28.528  17.228 
676    1      0      30.294  42.089  49.786 
677    1      0      29.832  42.653  48.325 
678    2      0      30.592  42.586  48.971 
679    1      0      22.618  22.158  14.288 
680    1      0      22.698  20.529  14.37  
681    2      0      22.082  21.314  14.314 
682    1      0      35.603  25.481  38.142 
683    1      0      34.205  25.537  37.301 
684    2      0      35.015  26.055  37.572 
685    1      0      6.994   22.056  28.953 
686    1      0      5.394   21.921  28.658 
687    2      0      6.116   22.534  28.977 
688    1      0      23.99   8.869   37.189 
689    1      0      24.934  10.195  37.064 
690    2      0      24.022  9.862   37.301 
691    1      0      2.231   31.803  39.378 
692    1      0      2.27    30.17   39.387 
693    2      0      1.716   30.972  39.165 
694    1      0      13.75   0.797   48.258 
695    1      0      12.818  0.068   47.133 
696    2      0      12.998  0.155   48.112 
697    1      0      15.895  38.443  42.54  
698    1      0      17.5    38.151  42.626 
699    2      0      16.801  38.777  42.281 
700    1      0      19.544  20.725  30.374 
701    1      0      18.017  21.299  30.305 
702    2      0      18.577  20.473  30.344 
703    1      0      7.247   10.842  10.184 
704    1      0      6.158   12.045  10.0   
705    2      0      7.132   11.828  10.065 
706    1      0      17.721  39.081  49.658 
707    1      0      17.409  40.647  50.0   
708    2      0      17.813  39.801  50.346 
709    1      0      25.99   9.397   16.524 
710    1      0      26.698  10.788  17.005 
711    2      0      26.428  9.869   17.289 
712    1      0      34.307  38.987  22.883 
713    1      0      33.6    40.248  22.124 
714    2      0      33.593  39.255  22.236 
715    1      0      1.381   14.852  41.134 
